UMLS CUI,node name,node type,synonyms
C0020456,hyperglycemia,Finding,
C5442411,insulin therapy,Treatment,
C0032617,polyuria,EntryPoint,
,post-obstructive diuresis,Disease,postobstructive diuresis
C0042019,urinary catheterization,Test,
,urine output monitoring,AlgorithmStep,
,reduce intravenous fluid rate,AlgorithmStep,
,volume status management,Treatment,
,benztropine use,RiskFactor,
C0080274,urinary retention,Disease,
C0030567,Parkinson disease,Disease,
C0020625,hyponatremia,Finding,
C0011848,diabetes insipidus,Disease,
C0020488,hypernatremia,Finding,
C0203408,echography of kidney,Test,"renal ultrasound, ultrasound of kidney"
C0028778,obstruction,Finding,
C5392968,Likelihood ratio test,EntryPoint,
C0554478,perianal dermatitis,EntryPoint,perianal rash
C0002645,amoxicillin,Treatment,
C0038411,Streptococcus pyogenes,Disease,
C0041834,erythema,Finding,
C0237326,dyschezia,Finding,"painful defecation, pain with defecation"
C0430402,bacterial culture (procedure),Test,
C0033860,psoriasis,Disease,
C0086445,idiopathic membranous glomerulonephritis,Disease,primary membranous nephropathy
C3554338,normal serum complement levels,Finding,
,anti phospholipase A2 receptor antibody testing,Test,
C0003015,Angiotensin-Converting Enzyme Inhibitors,Treatment,ACE inhibitor
C0021079,therapeutic immunosuppression,Treatment,immunosuppressive therapy
C0033687,proteinuria,Finding,
C0027726,nephrotic syndrome,Disease,
C0403414,Acute post-streptococcal glomerulonephritis,Disease,"PSGN, poststreptococcal glomerulonephritis"
C0024143,lupus nephritis,Disease,
C0231749,knee pain,EntryPoint,
C0409312,anterior cruciate ligament tear,Disease,ACL tear
C2732928,injury while engaged in sports activity,Finding,
C3669150,lachman test (procedure),Test,
C0556923,"Rest, ice, compression and elevation treatment program",Treatment,RICE
C0188185,Reconstruction of anterior cruciate ligament of knee joint,Treatment,"ACL repair, ACL reconstruction"
C0018924,hemarthrosis,Finding,
C0343170,hemarthrosis of knee,Finding,
C0563555,unable to weight-bear,Finding,inability to bear weight
C0343166,knee joint effusion,Finding,knee effusion
C0409316,rupture of posterior cruciate ligament,Disease,PCL tear
C3669380,Posterior drawer test (procedure),Test,
C0850149,dry cough,EntryPoint,
C1535939,Pneumocystis jiroveci pneumonia,Disease,PCP pneumonia
C0523210,Methenamine silver nitrate stain method,Test,
C1535502,bronchoalveolar lavage,Test,
C0165603,atovaquone,Treatment,
C0019693,HIV infections,Disease,
C1855068,Low CD4+ count,Finding,
C0038757,allergy to sulfonamide,Finding,sulfa allergy
C2939465,Deficiency of glucose-6-phosphate dehydrogenase,Finding,G6PD deficiency
C0010980,dapsone,Treatment,
C0004626,"pneumonia, bacterial",Disease,bacterial pneumonia
C3839346,heart failure with reduced ejection fraction,Disease,HFrEF
C5678315,Elevated brain natriuretic peptide (BNP),Finding,elevated BNP
C0700431,cardiac rehabilitation,Treatment,
C0354100,loop diuretics,Treatment,
,guideline directed medical therapy,Treatment,
C0032285,pneumonia,Disease,
C0004057,aspirin,Treatment,
C0027051,myocardial infarction,Disease,MI
C5243983,high sensitivity troponin elevation,Finding,
C2242996,has tingling sensation,EntryPoint,paresthesia
C0151723,hypomagnesemia,Disease,
C0745155,hypokalemia persistent,Finding,refractory hypokalemia
C0202125,serum magnesium measurement,Test,
C1096534,magnesium supplement therapy,Treatment,magnesium supplementation
C0001948,alcohol consumption,Finding,
C0011991,diarrhea,Finding,
C0239058,chvostek sign positive,Finding,
C0241479,Trousseau sign positive,Finding,
C0020598,hypocalcemia,Disease,
C0015468,facial pain,Finding,
C0238013,invasive aspergillosis,Disease,
,septated branching hyphae,Finding,
C0176358,biopsy of nose,Test,nasal biopsy
C4081147,amphotericin B injection,Treatment,intravenous amphotericin B
C0455097,Surgical debridement of wound,Treatment,
C1262006,bacterial sinusitis,Disease,
C2230223,nasal mucosa necrotis,Finding,necrotic nasal tissue
C0026718,mucormycosis,Disease,
C5779629,Eruption of skin (disorder),EntryPoint,rash
C0343052,guttate psoriasis,Disease,
C2169605,recent streptococcal infection,RiskFactor,
C4050091,topical corticosteroid therapy,Treatment,
C0031765,phototherapy,Treatment,
C0032026,pityriasis rosea,Disease,
C0234922,rash scaly,Finding,
C0085656,nummular eczema,Disease,
C0018674,craniocerebral trauma,EntryPoint,head trauma
C2959978,open depressed fracture of skull,Disease,open depressed skull fracture
C2180368,step-off displacement deformity of skull,Finding,
C0202691,CAT scan of head,Test,head CT
C0559680,intravenous antibiotic therapy,Treatment,intravenous antibiotics
C0524850,neurosurgical procedures,Treatment,"neurosurgical intervention, neurosurgery"
C0240937,scalp laceration,Finding,
,low glasgow coma scale,Finding,low GCS
C0876926,traumatic brain injury,Disease,TBI
C0262423,closed fracture of skull,Disease,closed skull fracture
C0238154,"Hematoma, Epidural, Cranial",Disease,epidural hematoma
C0149931,migraine disorders,EntryPoint,
C1827629,refractory migraine,Disease,
C0392525,nephrolithiasis,Finding,
C4542165,erenumab,Treatment,
C5873031,Calcitonin Gene-Related Peptide (CGRP) Receptor Antagonists,Treatment,
C0076829,topiramate,Treatment,
C1541923,infective endocarditis,Disease,
C0333286,splinter hemorrhage,Finding,
C0200949,blood culture,Test,
C0026269,mitral valve stenosis,Finding,
C0344232,blurred vision,EntryPoint,blurry vision
C0085435,reactive arthritis,Disease,
C0403762,Circinate balanitis co-occurrent with reactive arthritis triad,Finding,
,chlamydia trachomatis nucleic acid amplification test,Test,
C0013090,doxycycline,Treatment,
C0008149,chlamydia infections,RiskFactor,
C4285788,HLA-B*27 positive,Finding,HLA-B27 positive
C0009763,conjunctivitis,Finding,
C3892044,oligoarticular arthritis,Finding,oligoarthritis
C0201406,VDRL test,Test,
C0039128,syphilis,Disease,
C0017668,focal glomerulosclerosis,Disease,"FSGS, focal segmental glomerulosclerosis"
C0020312,hydrothorax,Finding,transudative pleural effusion
C0194073,kidney biopsy,Test,
C0887947,"Antiretroviral Therapy, Highly Active",Treatment,HAART
C0581377,decompensated cardiac failure,Disease,acute decompensated heart failure
C0078911,AIDS-Associated Nephropathy,Disease,AIDS nephropathy
C4053796,NSAID-Induced Nephropathy,Disease,NSAID nephropathy
C0445118,nephrotic range proteinuria,Finding,
,discontinue NSAID,Treatment,
C0003873,rheumatoid arthritis,Disease,RA
C0151205,periorbital edema,Finding,
C0568062,methotrexate poisoning,Disease,methotrexate toxicity
C0002726,amyloidosis,Disease,
C0012833,dizziness,EntryPoint,
C0036980,"shock, cardiogenic",Disease,
C0028961,oliguria,Finding,
C5147552,Inotropic support (drug),Treatment,
C3845183,Left Ventricular Assistive Device (LVAD),Treatment,LVAD
C0277925,cold extremity,Finding,
C0085642,livedo reticularis,Finding,
C0020683,hypovolemic shock,Disease,
C0522792,Administration of intravenous fluids,Treatment,
C0233794,memory impairment,EntryPoint,memory loss
C0002395,Alzheimer's disease,Disease,"AD, Alzheimer's dementia"
C0001046,Acetylcholinesterase Inhibitors,Treatment,
C0344211,supportive care,Treatment,
C0039231,tachycardia,Finding,
C4024936,Atrophy of cortex of temporal lobe,Finding,
C4715786,difficulty remembering names,Finding,naming difficulty
C0743724,retro-orbital pain,EntryPoint,retroorbital pain
C1399352,paroxysmal hemicrania,Disease,
C0439593,short duration,Finding,
C0021246,indomethacin,Treatment,
C0009088,cluster headache,Disease,
C0423153,lacrimation,Finding,
C0033377,ptosis,Finding,
C1260880,rhinorrhea,Finding,
C0205212,high frequency,Finding,
C4761117,High-flow nasal cannula oxygen therapy,Treatment,
